year,cluster_id,n_munis,region,pct_bajio,is_bajio_cluster,centroid_x,centroid_y
2018,2018_007,3,Sur,0.0,False,-96.724274,16.991825
2018,2018_008,7,Norte,0.0,False,-112.020389,31.20882
2018,2018_009,3,Centro-Norte,0.6667,True,-101.438065,19.751226
2018,2018_010,4,Centro-Norte,0.75,True,-103.2786,20.54287
2018,2018_011,3,Norte,0.0,False,-98.956218,22.950178
2019,2019_001,18,Norte-Occidente,0.4444,False,-102.889833,22.659755
2019,2019_002,28,Norte,0.0,False,-99.876226,26.338512
2019,2019_003,43,Centro-Norte,0.6977,True,-102.75298,20.537871
2019,2019_004,7,Centro,0.0,False,-99.142882,19.436696
2019,2019_005,3,Centro-Norte,0.0,False,-102.79964,20.048197
2019,2019_006,7,Centro-Norte,0.8571,True,-103.271853,20.539768
2019,2019_007,3,Sur,0.0,False,-89.020828,21.049814
2019,2019_008,5,Norte,0.0,False,-108.669668,29.306289
2019,2019_009,6,Sur,0.0,False,-96.735035,17.044299
2019,2019_010,3,Norte,0.0,False,-98.08814,24.922968
2020,2020_001,33,Centro-Norte,0.8182,True,-102.028163,20.3999
2020,2020_002,34,Centro,0.0,False,-99.075086,18.990433
2020,2020_003,13,Centro,0.0,False,-99.519254,19.227986
2020,2020_004,22,Norte,0.0,False,-99.594677,26.240913
2020,2020_005,7,Norte,0.0,False,-110.871719,30.761903
2020,2020_006,30,Norte-Occidente,0.3,False,-103.254427,22.919117
2020,2020_007,3,Centro,1.0,True,-100.96375,20.530461
2020,2020_008,3,Centro-Norte,0.0,False,-104.02328,20.162767
2020,2020_009,7,Centro-Norte,0.8571,True,-103.271853,20.539768
2020,2020_010,6,Sur,0.0,False,-96.745912,17.037029
2020,2020_011,3,Centro-Norte,0.0,False,-103.312164,18.598745
2020,2020_012,3,Norte,0.0,False,-112.642197,30.768492
2021,2021_001,3,Centro-Norte,0.3333,False,-100.288923,22.158186
2021,2021_002,32,Norte-Occidente,0.3438,False,-103.084678,22.830255
2021,2021_003,28,Centro,0.0,False,-99.304088,18.849917
2021,2021_004,42,Norte,0.0,False,-99.838688,26.125359
2021,2021_005,8,Centro-Norte,0.5,True,-103.525172,20.95336
2021,2021_006,6,Centro-Norte,1.0,True,-102.40539,21.306965
2021,2021_007,6,Centro-Norte,0.8333,True,-103.261203,20.517024
2021,2021_008,4,Sur,0.0,False,-96.71616,16.999897
2021,2021_009,3,Sur,0.0,False,-97.150202,18.850564
2021,2021_010,3,Sur,0.0,False,-96.929284,19.565385
2022,2022_001,4,Sur,0.0,False,-96.931668,18.88251
2022,2022_002,26,Norte-Occidente,0.4231,False,-102.932232,22.852485
2022,2022_003,6,Sur,0.0,False,-96.869659,19.51041
2022,2022_004,10,Centro,0.0,False,-99.071448,18.71611
2022,2022_005,39,Norte,0.0,False,-99.818685,25.943067
2022,2022_006,4,Centro,0.0,False,-99.40257,18.675111
2022,2022_007,3,Centro,0.0,False,-98.086149,19.272632
2022,2022_008,4,Norte,0.0,False,-98.92887,23.786055
2023,2023_001,14,Norte,0.0,False,-99.086123,23.819342
2023,2023_002,32,Norte-Occidente,0.4688,False,-102.73723,22.771601
2023,2023_003,15,Centro,0.0,False,-99.54041,19.229562
2023,2023_004,5,Centro-Norte,0.8,True,-101.62403,19.905864
2023,2023_005,34,Norte,0.0,False,-99.827023,26.027403
2023,2023_006,8,Norte,0.0,False,-111.924451,30.952782
2023,2023_007,3,Centro,0.0,False,-99.972809,19.068095
2023,2023_008,4,Centro,0.0,False,-98.359552,18.197831
2024,2024_001,4,Centro,0.0,False,-97.938683,18.937018
2024,2024_002,45,Norte,0.0,False,-99.604595,25.610265
2024,2024_003,18,Norte-Occidente,0.6111,True,-102.671116,22.752659
2024,2024_004,8,Centro,0.0,False,-98.42816,19.114577
2024,2024_005,8,Centro-Norte,1.0,True,-102.278609,22.044838
2024,2024_006,5,Centro-Norte,1.0,True,-101.684059,20.18296
2024,2024_007,5,Norte-Occidente,0.0,False,-105.561559,23.177523
2024,2024_008,21,Centro,0.0,False,-99.374411,19.377565
2024,2024_009,4,Centro,0.0,False,-98.757516,20.019122
2024,2024_010,18,Norte,0.0,False,-111.450112,30.560057
2024,2024_011,3,Centro,0.0,False,-98.503156,18.675342
2024,2024_012,5,Norte,0.0,False,-109.405484,28.056212
2024,2024_013,5,Centro,0.0,False,-98.697495,19.829141
2024,2024_014,3,Centro,0.0,False,-99.272083,19.976945
