status_id,year,month,morans_i,p_value,z_score
2,2016,7,0.051263129490309305,0.005,4.811488337126188
2,2016,8,0.03878177464215032,0.017,3.0316070082667883
2,2016,9,0.08252249942850579,0.003,5.843352532945069
2,2016,10,0.06533368907646474,0.005,5.113755537895516
2,2016,11,0.06286972668464241,0.002,5.597814802049859
2,2016,12,0.08291033058068029,0.002,6.928218924239448
2,2017,1,0.15813056223259805,0.001,11.452486378305283
2,2017,2,0.13035925868244222,0.002,9.703594139682636
2,2017,3,0.03984935959570326,0.014,3.171708398923504
2,2017,4,0.03772096635641637,0.019,2.7595254147491586
2,2017,5,0.021502230194534986,0.037,1.5793834871729104
2,2017,6,0.02786430724026361,0.036,2.325137777628349
2,2017,7,0.03764733354553271,0.027,1.8980941933299451
2,2017,8,0.04700576880590567,0.007,3.480901349989234
2,2017,9,0.03836923223031319,0.015,3.394191805707026
2,2017,10,0.04148691434307067,0.014,3.1651455741655097
2,2017,11,0.03373301717762222,0.032,2.49711621722536
2,2017,12,0.0635769044472469,0.008,4.83785602549988
2,2018,1,0.036934757437495726,0.024,3.115230944994978
2,2018,2,0.037538108515754884,0.022,2.9295977402146667
2,2018,3,0.024201354841816042,0.051,1.619790173574579
2,2018,4,0.025423705120837317,0.04,1.9477239163205644
2,2018,5,0.010995441376760312,0.07,1.1505543044660225
2,2018,6,0.012576841725635923,0.055,1.475040211398737
2,2018,7,0.01119472819625622,0.06,1.3226678987964542
2,2018,8,0.027198463099276628,0.032,2.508249280058943
2,2018,9,0.01571237578169893,0.053,1.3947229403162174
2,2018,10,0.01671994186635485,0.062,1.551737381682752
2,2018,11,0.0318122721191884,0.022,2.6542827143684073
2,2018,12,0.13622769752724734,0.002,9.680613568482498
2,2019,1,0.19900587829762056,0.001,15.95829451696082
2,2019,2,0.2598146573948355,0.001,20.16445340087625
2,2019,3,0.2909235344324946,0.001,22.93860625842016
2,2019,4,0.24803608634522425,0.001,16.702764803203028
2,2019,5,0.29612357101827497,0.001,25.542666531299805
2,2019,6,0.2868124012136411,0.001,23.51598767063847
2,2019,7,0.2604947271055948,0.001,20.60327070142542
2,2019,8,0.19768744641828195,0.001,14.865394806572866
2,2019,9,0.2398355758722,0.001,18.053670793053985
2,2019,10,0.2929360732377839,0.001,18.994607751460993
2,2019,11,0.332257865303084,0.001,23.76387521891035
2,2019,12,0.362936599630656,0.001,26.95736254731486
2,2020,1,0.3618855612114128,0.001,27.756954512844395
2,2020,2,0.3535395990984239,0.001,24.2467045689004
2,2020,3,0.3294462574798107,0.001,24.025661573931593
2,2020,4,0.2870135267526145,0.001,23.141402401362363
2,2020,5,0.25376752710314876,0.001,19.825871628177435
2,2020,6,0.294438018590506,0.001,23.194674029225848
2,2020,7,0.3146975274085955,0.001,24.689503213956826
2,2020,8,0.38300036310062474,0.001,27.944380579192092
2,2020,9,0.3688275327031121,0.001,27.71698809258986
2,2020,10,0.36282962620306725,0.001,25.624952754701184
2,2020,11,0.4242252993748895,0.001,31.254469722034873
2,2020,12,0.2494213986276123,0.001,17.93837907368905
2,2021,1,0.21764992266466687,0.001,16.03735299867508
2,2021,2,0.2782600629966012,0.001,22.16100063911584
2,2021,3,0.2793970324646498,0.001,21.85382789840439
2,2021,4,0.30241106782525295,0.001,23.441841033656697
2,2021,5,0.31351872423379196,0.001,23.512835280984344
2,2021,6,0.28082947717651485,0.001,21.5945130180304
2,2021,7,0.22457850649539476,0.001,17.123579496963718
2,2021,8,0.26013005738799927,0.001,19.46456000411262
2,2021,9,0.21530646399490136,0.001,16.894531280691247
2,2021,10,0.23899128570461625,0.001,20.184113732822514
2,2021,11,0.3073285713483887,0.001,23.119319226736916
2,2021,12,0.28979877779881036,0.001,22.367892409739746
2,2022,1,0.2505301142819978,0.001,18.477636777369927
2,2022,2,0.22616284347753218,0.001,17.492090675706535
2,2022,3,0.220845674835331,0.001,17.13483843490451
2,2022,4,0.201381358641574,0.001,15.26100871727339
2,2022,5,0.2524992626966528,0.001,19.888058816168293
2,2022,6,0.2681555404762691,0.001,20.771413806010194
2,2022,7,0.22053250652092843,0.001,16.722086918741493
2,2022,8,0.28784150286842775,0.001,22.59812900913467
2,2022,9,0.2540981361851237,0.001,21.987341523340078
2,2022,10,0.2618497579663995,0.001,19.27417677721618
2,2022,11,0.3062652495891417,0.001,22.766708027771987
2,2022,12,0.3951750215684675,0.001,29.804172635319436
2,2023,1,0.1814529347549609,0.001,14.077034695558883
2,2023,2,0.17708522176233385,0.001,14.118094540480644
2,2023,3,0.19549938240699385,0.001,15.301374001898651
2,2023,4,0.24749732332313365,0.001,18.500529685144944
2,2023,5,0.19721398974170173,0.001,13.032649992673926
2,2023,6,0.2192701507991317,0.001,17.547182091976303
2,2023,7,0.2150632775757213,0.001,17.956860142120878
2,2023,8,0.19789585563044904,0.001,15.781591356129379
2,2023,9,0.23217591669849202,0.001,16.43894222917957
2,2023,10,0.24440562866017057,0.001,18.915069548005594
2,2023,11,0.24694491146453898,0.001,17.59144269770992
2,2023,12,0.19144162128890962,0.001,14.023634387385162
2,2024,1,0.18062105781984905,0.001,14.846055981972732
2,2024,2,0.16941318401889263,0.001,12.46772630401387
2,2024,3,0.16290821035564967,0.001,11.8237785880836
2,2024,4,0.17313723706165765,0.001,13.861149582972748
2,2024,5,0.20159797767980323,0.001,13.787940686429822
2,2024,6,0.20961001843721588,0.001,16.915053280768692
2,2024,7,0.22854294680772852,0.001,16.356957610600464
2,2024,8,0.188482891496599,0.001,13.405683602081982
2,2024,9,0.22335598168127896,0.001,16.801152694762816
2,2024,10,0.21983071872386697,0.001,16.339911132007828
2,2024,11,0.21896435758438482,0.001,17.688666911834776
2,2024,12,0.24323466109270714,0.001,17.924202644637663
2,2025,1,0.17905545672511528,0.001,13.45941269922386
2,2025,2,0.20574731367552265,0.001,16.24159899256894
2,2025,3,0.2014338485729725,0.001,14.638245944944886
2,2025,4,0.23763652834770324,0.001,18.063791751863707
2,2025,5,0.21284095780483223,0.001,18.106319467432066
2,2025,6,0.2326012032315947,0.001,15.825093806937135
2,2025,7,0.20041798645120745,0.001,15.750051248655948
2,2025,8,0.24677044605571216,0.001,19.9701600774988
2,2025,9,0.29384468938770164,0.001,22.368236579140422
2,2025,10,0.23770518627349435,0.001,17.90799554172781
2,2025,11,0.22715286391500208,0.001,17.52300417543019
2,2025,12,0.20187081463305567,0.001,16.352339090410524
3,2015,1,0.0806356252029539,0.001,5.807449540833187
3,2015,2,-0.011843298312603197,0.036,-0.8561177139596939
3,2015,3,0.04654843575957838,0.01,3.5509185682120386
3,2015,4,-0.0017055214986934264,0.304,-0.11775758578622432
3,2015,5,0.02735322787686139,0.033,2.0299095746294578
3,2015,6,0.03745371185507205,0.019,2.8587280202514784
3,2015,7,0.04803201485151268,0.013,3.7078403039263086
3,2015,8,-0.0056036521681552855,0.449,-0.3924258105008358
3,2015,9,0.041338634912237375,0.016,2.908912085325639
3,2015,10,0.03988338799476692,0.019,2.888698835859988
3,2015,11,0.06671066583603681,0.006,5.222892637469887
3,2015,12,0.08254417885904149,0.003,7.318822531492138
3,2016,1,0.07915793555153294,0.001,5.93861378732792
3,2016,2,0.004364348303392045,0.238,0.43443963609931113
3,2016,3,0.00834104448242064,0.197,0.6085939336388501
3,2016,4,0.09679670394552459,0.002,7.141721456076511
3,2016,5,0.03892615644606835,0.014,3.1767858980948733
3,2016,6,0.007847915001525098,0.153,0.6346359798019378
3,2016,7,0.03746079670047028,0.018,3.105055002820497
3,2016,8,-0.002963621475440283,0.472,-0.19098793423771132
3,2016,9,-0.004314548204329152,0.48,-0.32582468623511684
3,2016,10,-0.000581163404613406,0.389,-0.008709498675344969
3,2016,11,0.019578832932730883,0.041,1.529950922639073
3,2016,12,0.011578057539126854,0.152,0.9447590238668082
3,2017,1,0.023667452909695765,0.04,2.212956423508774
3,2017,2,0.02876264999315827,0.045,2.113475458123134
3,2017,3,0.0020171194747490707,0.23,0.28085355160757997
3,2017,4,0.06773937383050671,0.002,5.482931887786774
3,2017,5,0.00950305099027181,0.115,0.9120398765322719
3,2017,6,0.024159817239369292,0.034,2.0168092675681404
3,2017,7,0.031867805290163746,0.021,2.466448137722062
3,2017,8,0.00974070023386094,0.112,0.7963882102317393
3,2017,9,0.03006715350437947,0.031,2.231208405679189
3,2017,10,0.001307827291703637,0.301,0.12418510819305308
3,2017,11,0.05203962146829093,0.008,3.7669434132693667
3,2017,12,0.009322057357603771,0.099,0.9427630522498118
3,2018,1,0.010692223004213054,0.146,0.7937447953335247
3,2018,2,0.050756859870330955,0.008,4.47324925305682
3,2018,3,0.01634106281573632,0.04,2.051676128273727
3,2018,4,0.025619940632971103,0.047,2.063606764169431
3,2018,5,0.03842433654228689,0.019,3.022857843220807
3,2018,6,0.019258744770929127,0.027,2.78148606465807
3,2018,7,0.026855767697306184,0.014,3.2882953866785902
3,2018,8,0.07451711707849985,0.003,6.177750185938388
3,2018,9,0.16050696855979465,0.001,14.342146654123033
3,2018,10,0.15645663469351553,0.001,12.365454358818193
3,2018,11,0.11454986028586259,0.004,7.526635176209999
3,2018,12,0.1472705836807526,0.001,12.991761368114679
3,2019,1,0.1532404704404249,0.001,12.628869658679578
3,2019,2,0.3571103708358856,0.001,30.816871823877143
3,2019,3,0.14806125571260118,0.001,11.62617873289512
3,2019,4,0.23751492355174492,0.002,13.58502744063056
3,2019,5,0.19038119617749738,0.001,12.74480918490698
3,2019,6,0.27305832368883215,0.001,21.03497774331404
3,2019,7,0.18430228887818442,0.001,14.05062816858599
3,2019,8,0.04571875750043928,0.007,4.047747886292939
3,2019,9,0.1640687711257254,0.001,15.402682522986867
3,2019,10,0.10889275324617045,0.003,7.612819709257337
3,2019,11,0.17522618091379885,0.001,13.49603933513214
3,2019,12,0.16123079781797037,0.001,12.81281330138698
3,2020,1,0.20263785015495417,0.001,14.768890895024395
3,2020,2,0.2178657476284342,0.001,21.821083839493856
3,2020,3,0.1885546552007544,0.001,15.037388756003732
3,2020,4,0.2764882686945762,0.001,21.011272184764376
3,2020,5,0.19503225756213738,0.001,14.875496615958305
